Yearly_Salary,job_category
103.5,"Data Analyst"
103.5,"Data Scientist"
103.5,"Data Scientist"
103,"Data Engineer"
103,"Data Scientist"
102.5,"Data Engineer"
102.5,"Data Engineer"
102,"Data Scientist"
102,"Data Scientist"
101.5,"Data Scientist"
101,"Data Engineer"
101,"Data Scientist"
101,Other
100.5,"Data Scientist"
100.5,"Data Engineer"
100.5,"Data Scientist"
100,"Data Engineer"
100,"Data Scientist"
100,"Data Engineer"
100,"Data Analyst"
100,"Data Engineer"
100,"Data Scientist"
99.5,"Data Scientist"
99.5,"Data Scientist"
99,"Data Scientist"
99,"Data Engineer"
99,"Data Engineer"
98.5,"Data Engineer"
98.5,"Data Scientist"
98.5,"Data Scientist"
98.5,"Data Engineer"
98,"Data Scientist"
98,"Data Engineer"
97.5,"Data Scientist"
97.5,"Data Scientist"
97,"Data Engineer"
97,"Data Engineer"
96.5,"Data Scientist"
96.5,"Data Scientist"
96,"Data Scientist"
96,"Data Scientist"
95.5,"Data Engineer"
95,"Data Scientist"
95,"Data Engineer"
95,"Data Scientist"
94.5,"Data Scientist"
94.5,"Data Engineer"
94.5,"Data Engineer"
94,"Data Scientist"
94,"Data Analyst"
93.5,"Data Engineer"
93.5,"Data Scientist"
93,"Data Engineer"
92.5,"Data Analyst"
92,"Data Engineer"
92,"Data Scientist"
92,"Data Scientist"
91.5,"Data Scientist"
91.5,"Data Engineer"
91.5,Other
91,"Data Scientist"
90.5,"Data Engineer"
90.5,"Data Scientist"
90,"Data Scientist"
90,"Data Engineer"
89.5,"Data Analyst"
89,"Data Scientist"
88.5,"Data Scientist"
88,"Data Analyst"
88,"Data Engineer"
87.5,"Data Scientist"
87.5,"Data Scientist"
87.5,"Data Scientist"
87.5,"Data Scientist"
87.5,"Data Analyst"
87.5,Other
87.5,"Data Analyst"
87.5,"Data Scientist"
87.5,"Data Engineer"
87,"Data Engineer"
87,"Data Engineer"
87,"Data Engineer"
87,"Data Scientist"
87,"Data Engineer"
86.5,"Data Scientist"
86.5,"Data Engineer"
86.5,Other
86,"Data Scientist"
85.5,"Data Scientist"
85.5,"Data Scientist"
85.5,"Data Engineer"
85.5,"Data Analyst"
85,"Data Scientist"
85,"Data Scientist"
85,"Data Engineer"
84.5,"Data Engineer"
84.5,"Data Scientist"
84.5,"Data Scientist"
84.5,"Data Scientist"
84,"Data Scientist"
84,"Data Scientist"
83.5,"Data Scientist"
83,"Data Engineer"
83,"Data Analyst"
82.5,"Data Scientist"
82,"Data Engineer"
81.5,"Data Scientist"
81.5,"Data Scientist"
81,"Data Scientist"
81,"Data Scientist"
81,"Data Analyst"
81,"Data Scientist"
81,"Data Engineer"
80.5,"Data Scientist"
80.5,"Data Scientist"
80.5,"Data Scientist"
80.5,"Data Scientist"
80.5,"Data Scientist"
80,"Data Scientist"
79.5,"Data Scientist"
79,"Data Analyst"
78,"Data Engineer"
77.5,"Data Analyst"
77.5,"Data Analyst"
77.5,"Data Engineer"
77.5,"Data Engineer"
77,"Data Analyst"
76.5,"Data Scientist"
76.5,"Data Scientist"
76.5,"Data Scientist"
76,"Data Scientist"
76,"Data Analyst"
75.5,"Data Scientist"
75.5,"Data Engineer"
74.5,"Data Engineer"
74,"Data Scientist"
74,Other
73.5,"Data Scientist"
73.5,"Data Scientist"
73,"Data Scientist"
73,"Data Analyst"
73,"Data Engineer"
72.5,"Data Analyst"
72.5,"Data Scientist"
72.5,"Data Analyst"
72,"Data Scientist"
72,"Data Analyst"
71.5,"Data Engineer"
71.5,"Data Engineer"
71,"Data Analyst"
70.5,"Data Engineer"
70.5,"Data Analyst"
70.5,"Data Scientist"
70.5,Other
70,"Data Scientist"
69.5,"Data Engineer"
69.5,"Data Analyst"
69.5,"Data Scientist"
69,"Data Analyst"
68.5,"Data Engineer"
68.5,"Data Engineer"
68.5,"Data Scientist"
68,"Data Analyst"
67,"Data Scientist"
67,"Data Scientist"
66.5,"Data Analyst"
66.5,"Data Analyst"
66.5,"Data Analyst"
66,"Data Analyst"
65.5,"Data Analyst"
65.5,"Data Engineer"
65.5,"Data Scientist"
65,"Data Analyst"
65,"Data Analyst"
65,"Data Engineer"
64.5,"Data Engineer"
64,"Data Analyst"
63.5,"Data Analyst"
63.5,"Data Scientist"
63,"Data Analyst"
62.5,"Data Analyst"
62.5,"Data Scientist"
62.5,"Data Analyst"
62,"Data Analyst"
62,"Data Scientist"
61.5,"Data Scientist"
61.5,"Data Analyst"
61.5,"Data Analyst"
61,"Data Scientist"
61,"Data Analyst"
61,"Data Analyst"
61,"Data Analyst"
60.5,"Data Scientist"
60.5,"Data Engineer"
60,"Data Scientist"
60,"Data Analyst"
59.5,"Data Analyst"
59,"Data Analyst"
59,"Data Analyst"
58.5,"Data Analyst"
58,"Data Analyst"
56.5,"Data Analyst"
56.5,"Data Analyst"
56.5,"Data Analyst"
55,"Data Analyst"
54,"Data Scientist"
54,"Data Analyst"
53.5,"Data Analyst"
53.5,"Data Analyst"
53,"Data Scientist"
52.5,"Data Scientist"
52.5,"Data Scientist"
52.5,"Data Analyst"
51.5,"Data Engineer"
51,"Data Scientist"
50,"Data Analyst"
50,"Data Analyst"
49,"Data Analyst"
49,"Data Analyst"
48.5,"Data Analyst"
48,Other
48,"Data Analyst"
47.5,"Data Analyst"
47.5,"Data Analyst"
47,"Data Analyst"
47,"Data Analyst"
45.5,"Data Analyst"
44.5,"Data Analyst"
43,"Data Analyst"
40.5,"Data Analyst"
39.5,"Data Scientist"
37.5,"Data Analyst"
37,"Data Scientist"
31.5,"Data Scientist"
29.5,"Data Analyst"
27.5,"Data Scientist"
27.5,"Data Scientist"
26.5,"Data Engineer"
25,"Data Scientist"
21.5,"Data Scientist"
20.5,"Data Scientist"
20,"Data Scientist"
15.5,"Data Scientist"
13.5,"Data Analyst"
